Mutual fund,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
SPDR S&P 500 ETF Trust,1.09%,5797695,1401592766,16536,+0.29%,AMGN
SPDR Dow Jones Industrial Average...,1.05%,5589816,1351338018,-6588,-0.12%,AMGN
Government Pension Fund - Global ...,0.94%,5018777,1213289340,88487,+1.79%,AMGN
Vanguard Value Index Fund,0.90%,4776882,1154811224,38346,+0.81%,AMGN
Vanguard Total Stock Market Index...,2.63%,156687090,16295457360,-2411517,-1.52%,GOOG
Government Pension Fund - Global ...,2.11%,126097547,13114144888,12902747,+11.40%,GOOG
Vanguard 500 Index Fund,2.03%,121221714,12607058256,-1791343,-1.46%,GOOG
Invesco QQQ Trust,1.02%,61122791,6356770264,197085,+0.32%,GOOG
Fidelity 500 Index Fund,0.97%,58044693,6036648072,105392,+0.18%,GOOG
SPDR S&P 500 ETF Trust,0.95%,56374592,5862957568,160888,+0.29%,GOOG
iShares Core S&P 500 ETF,0.77%,46082706,4792601424,6202,+0.01%,GOOG
Vanguard Growth Index Fund,0.72%,43199935,4492793240,-933241,-2.11%,GOOG
Vanguard Institutional Index Fund,0.64%,37978011,3949713144,-424618,-1.11%,GOOG
American Funds Growth Fund of Ame...,0.61%,36424599,3788158296,-4616952,-11.25%,GOOG
Vanguard Total Stock Market Index...,3.08%,5984032,876600848,396123,+7.09%,AWK
Vanguard 500 Index Fund,2.32%,4505166,659961767,280479,+6.64%,AWK
Vanguard Mid Cap Index Fund,2.32%,4504673,659889548,260662,+6.14%,AWK
SPDR Series - Utilities Select Se...,1.56%,3028085,443584172,3320,+0.11%,AWK
Pictet - Water,1.48%,2876994,421450851,-42442,-1.45%,AWK
Pictet - Global Environment Oppor...,1.13%,2199192,322159636,-85412,-3.74%,AWK
SPDR S&P 500 ETF Trust,1.08%,2095190,306924383,5980,+0.29%,AWK
Fidelity 500 Index Fund,1.02%,1993301,291998663,3627,+0.18%,AWK
Government Pension Fund - Global ...,0.93%,1804672,264366401,209068,+13.10%,AWK
Vanguard Value Index Fund,0.89%,1724473,252618050,104465,+6.45%,AWK
Vanguard Total Stock Market Index...,3.10%,22830303,1149734059,-29188,-0.13%,AIG
American Funds Investment Company...,2.78%,20477660,1031254958,0,0.00%,AIG
Vanguard 500 Index Fund,2.35%,17346478,873568632,84640,+0.49%,AIG
Government Pension Fund - Global ...,1.56%,11461421,577197162,2746306,+31.51%,AIG
Vanguard Mid Cap Index Fund,1.17%,8610159,433607607,-63151,-0.73%,AIG
Fidelity 500 Index Fund,1.11%,8144961,410180236,14809,+0.18%,AIG
SPDR S&P 500 ETF Trust,1.09%,8054163,405607649,23036,+0.29%,AIG
BlackRock Equity Dividend Fund,1.06%,7805842,393102203,1461720,+23.04%,AIG
Fidelity Contrafund,1.01%,7466847,376030415,-7553,-0.10%,AIG
Diamond Hill Large Cap Fund,0.96%,7047808,354927611,831818,+13.38%,AIG
Vanguard Total Stock Market Index...,3.10%,49928475,4893489835,304739,+0.61%,AMD
Vanguard 500 Index Fund,2.34%,37642564,3689347698,185113,+0.49%,AMD
Invesco QQQ Trust,1.33%,21409790,2098373518,69020,+0.32%,AMD
Government Pension Fund - Global ...,1.20%,19259780,1887651038,5767956,+42.75%,AMD
Fidelity 500 Index Fund,1.10%,17675546,1732380263,32138,+0.18%,AMD
SPDR S&P 500 ETF Trust,1.09%,17506357,1715798050,49972,+0.29%,AMD
iShares Core S&P 500 ETF,0.89%,14310374,1402559756,1926,+0.01%,AMD
Vanguard Growth Index Fund,0.85%,13731144,1345789423,-24482,-0.18%,AMD
Vanguard Institutional Index Fund,0.71%,11433649,1120611938,-128309,-1.11%,AMD
SPDR Series - Technology Select S...,0.59%,9517286,932789201,85228,+0.90%,AMD
Vanguard Total Stock Market Index...,2.63%,5322661,852211253,264791,+5.24%,ABC
Vanguard Mid Cap Index Fund,1.99%,4015565,642932112,176892,+4.61%,ABC
Vanguard 500 Index Fund,1.87%,3777914,604881811,14844,+0.39%,ABC
T Rowe Price Value Fund,1.49%,3020697,483643797,2010776,+199.10%,ABC
JPMorgan Equity Income Fund,1.04%,2107199,337383632,0,0.00%,ABC
John Hancock III - Disciplined Va...,0.88%,1782283,285361331,24341,+1.38%,ABC
Fidelity 500 Index Fund,0.88%,1775417,284262016,3226,+0.18%,ABC
SPDR S&P 500 ETF Trust,0.87%,1755830,281125941,4992,+0.29%,ABC
Government Pension Fund - Global ...,0.76%,1539481,246486303,155540,+11.24%,ABC
Vanguard Value Index Fund,0.76%,1537767,246211874,76583,+5.24%,ABC
Vanguard Total Stock Market Index...,2.32%,17283159,2850857077,39810,+0.23%,AXP
Vanguard 500 Index Fund,1.87%,13899199,2292672875,11351,+0.08%,AXP
Vanguard Dividend Growth Fund,0.93%,6899286,1138037226,0,0.00%,AXP
Fidelity 500 Index Fund,0.88%,6553268,1080961557,11914,+0.18%,AXP
SPDR S&P 500 ETF Trust,0.87%,6478893,1068693400,18460,+0.29%,AXP
Government Pension Fund - Global ...,0.81%,6025630,993927669,99315,+1.68%,AXP
MFS Value Fund,0.78%,5763808,950740130,0,0.00%,AXP
SPDR Dow Jones Industrial Average...,0.75%,5589816,922040149,-6588,-0.12%,AXP
iShares Core S&P 500 ETF,0.71%,5284009,871597285,712,+0.01%,AXP
Vanguard Value Index Fund,0.67%,4993459,823671062,18028,+0.36%,AXP
Vanguard Total Stock Market Index...,3.09%,9615813,346746217,-298465,-3.01%,APA
SPDR Series - Energy Select Secto...,3.02%,9374151,338031885,129152,+1.40%,APA
Vanguard Small Cap Index Fund,2.62%,8137199,293427396,-242142,-2.89%,APA
Vanguard 500 Index Fund,2.41%,7505849,270660915,41780,+0.56%,APA
Oakmark Fund,2.31%,7184809,259084213,-2350000,-24.65%,APA
Vanguard Windsor Funds - Vanguard...,2.07%,6429377,231843335,445000,+7.44%,APA
Vanguard Small Cap Value Index Fu...,1.84%,5707391,205808519,-209868,-3.55%,APA
Pacer Fds. Tr. - US Cash Cows 100...,1.58%,4896405,176564364,15966,+0.33%,APA
SPDR S&P 500 ETF Trust,1.14%,3528010,127220041,9984,+0.28%,APA
Fidelity 500 Index Fund,1.13%,3524595,127096896,6405,+0.18%,APA
Vanguard Total Stock Market Index...,2.94%,465367389,76739082446,376668,+0.08%,AAPL
Vanguard 500 Index Fund,2.19%,347224056,57257246834,-179743,-0.05%,AAPL
Fidelity 500 Index Fund,1.04%,163930044,27032064256,297988,+0.18%,AAPL
Government Pension Fund - Global ...,1.03%,163815129,27013114772,25264326,+18.23%,AAPL
SPDR S&P 500 ETF Trust,1.02%,161481658,26628325404,460876,+0.29%,AAPL
iShares Core S&P 500 ETF,0.83%,132001166,21766992273,17764,+0.01%,AAPL
Invesco QQQ Trust,0.82%,130332455,21491821830,420245,+0.32%,AAPL
Vanguard Growth Index Fund,0.81%,128009804,21108816680,-920706,-0.71%,AAPL
Vanguard Institutional Index Fund,0.68%,106993531,17643233262,-1199414,-1.11%,AAPL
Vanguard Information Technology I...,0.47%,74601371,12301766078,365647,+0.49%,AAPL
American Funds Investment Company...,4.95%,50037340,1444077632,-2698861,-5.12%,BKR
Washington Mutual Investors Fund,3.45%,34875008,1006492731,-5114112,-12.79%,BKR
Vanguard Total Stock Market Index...,3.10%,31316918,903806253,481498,+1.56%,BKR
SPDR Series - Energy Select Secto...,2.90%,29331641,846511159,404224,+1.40%,BKR
Vanguard Mid Cap Index Fund,2.34%,23619371,681655047,252081,+1.08%,BKR
Vanguard 500 Index Fund,2.32%,23486374,677816754,221224,+0.95%,BKR
Dodge & Cox Stock Fund,2.25%,22766608,657044307,2015100,+9.71%,BKR
American Funds Capital World Grow...,1.84%,18594756,536644658,-6692501,-26.47%,BKR
American Funds Growth Fund of Ame...,1.66%,16751793,483456746,0,0.00%,BKR
American Balanced Fund,1.34%,13500506,389624603,0,0.00%,BKR
Vanguard Total Stock Market Index...,3.11%,6678583,1390213837,36862,+0.56%,ADSK
Vanguard 500 Index Fund,2.35%,5037338,1048572278,22440,+0.45%,ADSK
Invesco QQQ Trust,1.34%,2866807,596754545,9240,+0.32%,ADSK
Fidelity 500 Index Fund,1.10%,2366367,492582955,4301,+0.18%,ADSK
SPDR S&P 500 ETF Trust,1.09%,2344571,488045899,6708,+0.29%,ADSK
Government Pension Fund - Global ...,1.05%,2251650,468703464,-3057759,-57.59%,ADSK
iShares Core S&P 500 ETF,0.89%,1915026,398631812,258,+0.01%,ADSK
Vanguard Growth Index Fund,0.86%,1837536,382501494,-3664,-0.20%,ADSK
"Principal Funds, Inc. - Mid Cap F...",0.79%,1701513,354186946,-216822,-11.30%,ADSK
Findlay Park Funds Plc - American...,0.77%,1650314,343529362,-1613935,-49.44%,ADSK
Vanguard Total Stock Market Index...,3.10%,15663143,3089085062,-5694,-0.04%,ADI
Vanguard 500 Index Fund,2.34%,11833548,2333812337,-115361,-0.97%,ADI
Invesco QQQ Trust,1.33%,6721051,1325525678,21665,+0.32%,ADI
Government Pension Fund - Global ...,1.23%,6218632,1226438603,127162,+2.09%,ADI
Fidelity 500 Index Fund,1.12%,5638504,1112025759,10251,+0.18%,ADI
JPMorgan Equity Income Fund,1.09%,5535965,1091803017,0,0.00%,ADI
SPDR S&P 500 ETF Trust,1.09%,5503252,1085351359,15704,+0.29%,ADI
Vanguard Value Index Fund,0.90%,4525192,892458366,2074,+0.05%,ADI
iShares Core S&P 500 ETF,0.89%,4498553,887204623,606,+0.01%,ADI
Franklin Rising Dividends Fund,0.80%,4050400,798819888,-14900,-0.37%,ADI
Artisan International Value Fund,6.22%,23072732,1565946321,494302,+2.19%,ACGL
Vanguard Total Stock Market Index...,2.94%,10893661,739352772,90391,+0.84%,ACGL
Baron Growth Fund,2.44%,9060000,614902200,0,0.00%,ACGL
Vanguard 500 Index Fund,2.33%,8635419,586085888,40882,+0.48%,ACGL
Vanguard Mid Cap Index Fund,2.21%,8217830,557744122,18428,+0.22%,ACGL
Baron Partners Fund,1.77%,6550000,444548500,0,0.00%,ACGL
Allspring Special Mid Cap Value F...,1.61%,5958100,404376247,-57100,-0.95%,ACGL
American Funds New Perspective Fu...,1.46%,5432231,368685518,-1120872,-17.10%,ACGL
"Principal Funds, Inc. - Mid Cap F...",1.19%,4417433,299811178,-50200,-1.12%,ACGL
Fidelity 500 Index Fund,1.09%,4054754,275196154,7371,+0.18%,ACGL
Vanguard Equity Income Fund,3.46%,4953972,556628294,451463,+10.03%,ATO
Vanguard Total Stock Market Index...,3.09%,4424160,497098618,88114,+2.03%,ATO
Vanguard Small Cap Index Fund,2.62%,3745735,420870785,73625,+2.00%,ATO
Vanguard 500 Index Fund,2.34%,3342604,375574985,90792,+2.79%,ATO
iShares Tr. - Edge MSCI USA Quali...,1.86%,2656879,298526924,1228,+0.05%,ATO
Vanguard Small Cap Value Index Fu...,1.70%,2439344,274084692,34780,+1.45%,ATO
SPDR Series - Utilities Select Se...,1.57%,2246562,252423706,2465,+0.11%,ATO
Vanguard Windsor Funds - Vanguard...,1.54%,2210000,248315600,-122700,-5.26%,ATO
SPDR S&P Dividend ETF,1.33%,1902064,213715911,-518,-0.03%,ATO
Magellan Infrastructure Fund (Cur...,1.20%,1718723,193115716,665013,+63.11%,ATO
Vanguard Total Stock Market Index...,3.10%,220931450,4252930413,1613938,+0.74%,T
Vanguard 500 Index Fund,2.33%,166413107,3203452310,843747,+0.51%,T
Fidelity 500 Index Fund,1.10%,78130146,1504005311,142032,+0.18%,T
SPDR S&P 500 ETF Trust,1.09%,77393258,1489820217,220896,+0.29%,T
Government Pension Fund - Global ...,0.91%,65082483,1252837798,-4004721,-5.80%,T
iShares Core S&P 500 ETF,0.89%,63264152,1217834926,8514,+0.01%,T
Vanguard Value Index Fund,0.87%,61783854,1189339190,484349,+0.79%,T
Vanguard Institutional Index Fund,0.71%,50470280,971552890,-566809,-1.11%,T
Vanguard High Dividend Yield Inde...,0.46%,32509985,625817211,838585,+2.65%,T
SPDR Series - Communication Servi...,0.33%,23325615,449018089,1409478,+6.43%,T
Vanguard Total Stock Market Index...,2.94%,6031606,1901705056,-13814,-0.23%,AON
Vanguard 500 Index Fund,2.34%,4795504,1511974456,-9456,-0.20%,AON
MFS Value Fund,2.26%,4643756,1464129829,0,0.00%,AON
Fidelity 500 Index Fund,1.11%,2267638,714963585,4122,+0.18%,AON
SPDR S&P 500 ETF Trust,1.09%,2242421,707012917,6344,+0.28%,AON
American Funds Fundamental Invest...,1.09%,2233794,704292910,0,0.00%,AON
American Balanced Fund,1.01%,2068427,652154349,0,0.00%,AON
WCM Focused International Growth ...,1.00%,2053921,647580752,-109853,-5.08%,AON
MFS Growth Fund,0.90%,1846067,582046464,0,0.00%,AON
iShares Core S&P 500 ETF,0.89%,1823001,574773985,246,+0.01%,AON
T Rowe Price Mid Cap Growth Fund,4.15%,2196600,263745762,-3000,-0.14%,AIZ
Vanguard Total Stock Market Index...,3.09%,1637517,196616666,9575,+0.59%,AIZ
Vanguard Small Cap Index Fund,2.62%,1384986,166295269,7980,+0.58%,AIZ
Vanguard 500 Index Fund,2.33%,1231340,147846994,3633,+0.30%,AIZ
MFS Mid Cap Value Fund,1.94%,1027843,123413109,179043,+21.09%,AIZ
Vanguard Small Cap Value Index Fu...,1.84%,971577,116657250,-129,-0.01%,AIZ
iShares Tr. - Edge MSCI Min. Vol....,1.59%,839456,100793482,0,0.00%,AIZ
First Trust Value Line Dividend I...,1.17%,617758,74174203,0,0.00%,AIZ
Government Pension Fund - Global ...,1.10%,581271,69793209,-19108,-3.18%,AIZ
Fidelity 500 Index Fund,1.09%,579163,69540101,1054,+0.18%,AIZ
Vanguard Total Stock Market Index...,3.10%,26163062,3213608905,-312837,-1.18%,AMAT
Vanguard 500 Index Fund,2.33%,19683177,2417684631,-303188,-1.52%,AMAT
American Funds Fundamental Invest...,1.49%,12586518,1546002006,542986,+4.51%,AMAT
American Funds Growth Fund of Ame...,1.46%,12361633,1518379381,989222,+8.70%,AMAT
Invesco QQQ Trust,1.33%,11228474,1379193461,36190,+0.32%,AMAT
Fidelity 500 Index Fund,1.12%,9431187,1158432699,17144,+0.18%,AMAT
Government Pension Fund - Global ...,1.11%,9349926,1148451411,2271365,+32.09%,AMAT
SPDR S&P 500 ETF Trust,1.08%,9153840,1124366167,26104,+0.29%,AMAT
iShares Core S&P 500 ETF,0.89%,7482719,919102375,1006,+0.01%,AMAT
Vanguard Growth Index Fund,0.85%,7197333,884048412,-142859,-1.95%,AMAT
Vanguard Total Stock Market Index...,3.10%,8386201,940847890,40682,+0.49%,APTV
Vanguard Mid Cap Index Fund,2.34%,6328704,710017302,1695,+0.03%,APTV
Vanguard 500 Index Fund,2.34%,6325555,709664015,28652,+0.46%,APTV
Government Pension Fund - Global ...,1.49%,4039338,453173330,798156,+24.63%,APTV
American Funds Growth Fund of Ame...,1.35%,3663336,410989666,-1901655,-34.17%,APTV
Vanguard Windsor Funds - Vanguard...,1.15%,3114085,349369196,-45400,-1.44%,APTV
Fidelity 500 Index Fund,1.10%,2970304,333238406,5395,+0.18%,APTV
SPDR S&P 500 ETF Trust,1.08%,2937341,329540287,8372,+0.29%,APTV
iShares Core S&P 500 ETF,0.89%,2404798,269794288,324,+0.01%,APTV
Vanguard Growth Index Fund,0.85%,2307469,258874947,-4601,-0.20%,APTV
Vanguard Total Stock Market Index...,3.16%,580963,1428094198,-2999,-0.51%,AZO
Vanguard 500 Index Fund,2.38%,438137,1077006467,-2771,-0.63%,AZO
Fidelity Low Priced Stock Fund,2.18%,401776,987625674,-112299,-21.84%,AZO
JPMorgan Large Cap Growth Fund,1.93%,355790,874585189,-81975,-18.73%,AZO
Government Pension Fund - Global ...,1.43%,262562,645416780,67196,+34.39%,AZO
Caisse de D�p�t & Placement du Qu...,1.25%,229149,563282614,-338041,-59.60%,AZO
Vanguard Mid Cap Index Fund,1.19%,219164,538737987,-2304,-1.04%,AZO
Fidelity 500 Index Fund,1.13%,208080,511491852,378,+0.18%,AZO
SPDR S&P 500 ETF Trust,1.11%,203731,500801358,572,+0.28%,AZO
iShares Core S&P 500 ETF,0.91%,166571,409456504,22,+0.01%,AZO
Vanguard Total Stock Market Index...,2.32%,7121463,1195408779,71394,+1.01%,ANET
Vanguard 500 Index Fund,1.89%,5778637,970002007,26880,+0.47%,ANET
Vanguard Mid Cap Index Fund,1.75%,5367467,900983011,18406,+0.34%,ANET
AllianceBernstein (Japan) AB US L...,1.33%,4060558,681605266,1264136,+45.21%,ANET
American Funds Fundamental Invest...,1.12%,3436300,576817318,-336549,-8.92%,ANET
Eaton Vance Tax Managed Growth Po...,0.95%,2900304,486845029,-742796,-20.39%,ANET
AB Large Cap Growth Fund,0.92%,2829743,475000660,-41041,-1.43%,ANET
Fidelity 500 Index Fund,0.89%,2713388,455469310,4931,+0.18%,ANET
SPDR S&P 500 ETF Trust,0.88%,2687182,451070371,7644,+0.29%,ANET
Government Pension Fund - Global ...,0.81%,2486914,417453384,424486,+20.58%,ANET
Vanguard Total Stock Market Index...,3.10%,2700064,898581299,20673,+0.77%,ANSS
Vanguard Mid Cap Index Fund,2.34%,2034118,676954470,-1053,-0.05%,ANSS
Vanguard 500 Index Fund,2.34%,2033735,676827008,9540,+0.47%,ANSS
Invesco QQQ Trust,1.33%,1157197,385115162,3745,+0.32%,ANSS
MFS International Intrinsic Value...,1.27%,1107563,368596966,-546148,-33.03%,ANSS
Baron Growth Fund,1.15%,1000000,332800000,0,0.00%,ANSS
Vanguard Windsor Funds - Vanguard...,1.15%,1000000,332800000,-25000,-2.44%,ANSS
Fidelity 500 Index Fund,1.10%,954970,317814016,1734,+0.18%,ANSS
SPDR S&P 500 ETF Trust,1.09%,945791,314759245,2704,+0.29%,ANSS
iShares Core S&P 500 ETF,0.89%,773162,257308314,104,+0.01%,ANSS
Vanguard Total Stock Market Index...,3.10%,2501544,447601268,9654,+0.39%,AVY
Vanguard 500 Index Fund,2.34%,1890357,338241578,9720,+0.52%,AVY
Vanguard Mid Cap Index Fund,2.34%,1887857,337794253,37,+0.00%,AVY
T Rowe Price Mid Cap Growth Fund,2.34%,1888200,337855626,-2600,-0.14%,AVY
Victory Sycamore Established Valu...,1.65%,1335900,239032587,0,0.00%,AVY
Columbia Dividend Income Fund,1.51%,1219800,218258814,-11755,-0.95%,AVY
Vanguard Windsor Funds - Vanguard...,1.40%,1127728,201784371,75460,+7.17%,AVY
T Rowe Price Dividend Growth Fund,1.21%,977630,174927336,6447,+0.66%,AVY
Fidelity 500 Index Fund,1.10%,887627,158823099,1612,+0.18%,AVY
SPDR S&P 500 ETF Trust,1.10%,887127,158733634,2496,+0.28%,AVY
Parnassus Core Equity Fund,3.76%,11805203,650584737,1507781,+14.64%,BALL
Vanguard Total Stock Market Index...,3.10%,9732041,536332780,70100,+0.73%,BALL
T Rowe Price Mid Cap Growth Fund,2.38%,7472800,411826008,-9800,-0.13%,BALL
Vanguard Mid Cap Index Fund,2.34%,7344167,404737043,11380,+0.16%,BALL
Vanguard 500 Index Fund,2.33%,7329176,403910889,32160,+0.44%,BALL
T Rowe Price New Horizons Fund,1.17%,3685365,203100465,3685365,--,BALL
Bridge Builder Large Cap Growth F...,1.16%,3657885,201586042,0,0.00%,BALL
Fidelity 500 Index Fund,1.09%,3441366,189653680,6250,+0.18%,BALL
SPDR S&P 500 ETF Trust,1.08%,3394759,187085168,9724,+0.29%,BALL
Parnassus Mid Cap Fund,1.01%,3183667,175451888,254120,+8.67%,BALL
Government Pension Fund - Global ...,3.56%,7544098,1443261388,679107,+9.89%,AJG
Vanguard Total Stock Market Index...,3.10%,6565089,1255967177,82762,+1.28%,AJG
Vanguard Mid Cap Index Fund,2.34%,4953962,947742470,34355,+0.70%,AJG
Vanguard 500 Index Fund,2.34%,4951923,947352389,54080,+1.10%,AJG
American Funds Investment Company...,1.20%,2542765,486456372,0,0.00%,AJG
American Balanced Fund,1.15%,2443121,467393479,0,0.00%,AJG
Fidelity 500 Index Fund,1.09%,2311345,442183412,4199,+0.18%,AJG
SPDR S&P 500 ETF Trust,1.09%,2302879,440563781,6552,+0.29%,AJG
Findlay Park Funds Plc - American...,1.09%,2300320,440074219,-463892,-16.78%,AJG
JPMorgan Equity Income Fund,1.04%,2213971,423554792,0,0.00%,AJG
Government Pension Fund - Global ...,4.41%,6167577,1036522991,263472,+4.46%,AVB
Vanguard Real Estate Index Fund,4.41%,6162911,1035738823,-53849,-0.87%,AVB
Vanguard Total Stock Market Index...,3.10%,4330372,727762318,29125,+0.68%,AVB
Vanguard Mid Cap Index Fund,2.34%,3267624,549156889,1576,+0.05%,AVB
Vanguard 500 Index Fund,2.33%,3266089,548898917,16680,+0.51%,AVB
Canada Pension Plan,1.20%,1675000,281500500,428781,+34.41%,AVB
Principal Investors - Real Estate...,1.15%,1609316,270461647,-77932,-4.62%,AVB
Fidelity 500 Index Fund,1.10%,1533629,257741690,2786,+0.18%,AVB
SPDR S&P 500 ETF Trust,1.08%,1516722,254900299,4316,+0.29%,AVB
Vanguard Value Index Fund,0.89%,1251492,210325746,11092,+0.89%,AVB
Vanguard Total Stock Market Index...,2.63%,210660279,6024883979,824916,+0.39%,BAC
Vanguard 500 Index Fund,2.04%,162946745,4660276907,802211,+0.49%,BAC
Government Pension Fund - Global ...,1.27%,102073372,2919298439,15223682,+17.53%,BAC
Fidelity 500 Index Fund,0.96%,76513345,2188281667,139103,+0.18%,BAC
SPDR S&P 500 ETF Trust,0.95%,75781116,2167339918,216268,+0.29%,BAC
iShares Core S&P 500 ETF,0.77%,61946305,1771664323,8336,+0.01%,BAC
Vanguard Value Index Fund,0.76%,60862922,1740679569,274224,+0.45%,BAC
Vanguard Institutional Index Fund,0.62%,49511783,1416036994,-554401,-1.11%,BAC
SPDR Series - Financial Select Se...,0.58%,46616750,1333239050,215220,+0.46%,BAC
Vanguard High Dividend Yield Inde...,0.40%,31912511,912697815,848298,+2.73%,BAC
Vanguard Total Stock Market Index...,3.10%,3652523,535350296,41476,+1.15%,BR
Stichting Pensioenfonds ABP (Glob...,2.97%,3495823,512382777,25372,+0.73%,BR
Vanguard Mid Cap Index Fund,2.34%,2749014,402922982,5852,+0.21%,BR
Vanguard 500 Index Fund,2.34%,2747607,402716758,16220,+0.59%,BR
Morgan Stanley Invt. Fds. - Globa...,1.66%,1949422,285726783,139304,+7.70%,BR
Janus Henderson Enterprise Fund,1.39%,1636063,239797754,0,0.00%,BR
iShares Tr. - Edge MSCI Min. Vol....,1.22%,1430622,209686267,-724,-0.05%,BR
Jensen Quality Growth Fund,1.18%,1390000,203732300,0,0.00%,BR
Fidelity 500 Index Fund,1.10%,1289800,189045986,2344,+0.18%,BR
SPDR S&P 500 ETF Trust,1.08%,1275467,186945198,3640,+0.29%,BR
Washington Mutual Investors Fund,3.25%,13546897,8690876301,-1080501,-7.39%,AVGO
Vanguard Total Stock Market Index...,3.10%,12906640,8280125826,445243,+3.57%,AVGO
Vanguard 500 Index Fund,2.34%,9755859,6258773783,346808,+3.69%,AVGO
American Balanced Fund,2.10%,8737024,5605150377,-656309,-6.99%,AVGO
American Funds Growth Fund of Ame...,2.00%,8338418,5349428684,-959779,-10.32%,AVGO
American Funds Fundamental Invest...,1.80%,7503145,4813567643,-510766,-6.37%,AVGO
American Funds Investment Company...,1.73%,7214951,4628679665,-295486,-3.93%,AVGO
Invesco QQQ Trust,1.33%,5539429,3553765281,17850,+0.32%,AVGO
Capital Income Builder,1.23%,5108698,3277434115,-684041,-11.81%,AVGO
American Funds Capital World Grow...,1.18%,4926667,3160653947,-471857,-8.74%,AVGO
Vanguard Total Stock Market Index...,3.10%,44427333,2222699470,343075,+0.78%,BSX
Vanguard 500 Index Fund,2.33%,33440003,1673003350,170592,+0.51%,BSX
Vanguard PRIMECAP Fund,1.85%,26465244,1324056157,0,0.00%,BSX
Vanguard Health Care Fund,1.74%,25019385,1251719832,-2643932,-9.56%,BSX
Fidelity Select Medical Technolog...,1.18%,16900000,845507000,300000,+1.81%,BSX
Fidelity 500 Index Fund,1.09%,15701792,785560654,28542,+0.18%,BSX
SPDR S&P 500 ETF Trust,1.08%,15526344,776782990,44408,+0.29%,BSX
MFS Value Fund,1.04%,14927706,746833131,0,0.00%,BSX
MFS Growth Fund,0.98%,14063880,703615916,0,0.00%,BSX
Government Pension Fund - Global ...,0.93%,13324052,666602322,400651,+3.10%,BSX
Vanguard Total Stock Market Index...,2.64%,647113,309980069,-1504,-0.23%,BIO
Vanguard 500 Index Fund,2.05%,502693,240800001,2760,+0.55%,BIO
Vanguard Mid Cap Index Fund,1.99%,486852,233211845,-3590,-0.73%,BIO
Brown Advisory Sustainable Growth...,1.45%,355874,170470763,7256,+2.08%,BIO
