Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
"JPMorgan Investment Management, I...",2.74%,13834213,2728383488,-1097653,-7.35%,ADI
Wellington Management Co. LLP,1.85%,9367981,1847553213,-250283,-2.60%,ADI
Massachusetts Financial Services ...,1.85%,9349135,1843836405,-1148648,-10.94%,ADI
Geode Capital Management LLC,1.84%,9326193,1839311783,100206,+1.09%,ADI
"Franklin Advisers, Inc.",1.71%,8625478,1701116771,-447924,-4.94%,ADI
Columbia Management Investment Ad...,1.62%,8202090,1617616190,-65480,-0.79%,ADI
Lazard Asset Management LLC,1.50%,7581210,1495166236,-454272,-5.65%,ADI
"The Vanguard Group, Inc.",10.66%,39564938,2685272342,6279523,+18.87%,ACGL
Artisan Partners LP,8.39%,31134836,2113121319,-4118784,-11.68%,ACGL
"BAMCO, Inc.",5.77%,21416320,1453525638,-76704,-0.36%,ACGL
Capital Research & Management Co....,5.19%,19255685,1306883341,43923,+0.23%,ACGL
BlackRock Fund Advisors,5.01%,18581325,1261114528,5653360,+43.73%,ACGL
"SSgA Funds Management, Inc.",4.19%,15544678,1055017296,7394769,+90.73%,ACGL
Geode Capital Management LLC,2.10%,7780581,528068032,2574408,+49.45%,ACGL
Wellington Management Co. LLP,1.97%,7302280,495605744,-154589,-2.07%,ACGL
Allspring Global Investments LLC,1.91%,7071270,479927095,-623770,-8.11%,ACGL
Capital Research & Management Co....,1.79%,6637363,450477827,-3060201,-31.56%,ACGL
"The Vanguard Group, Inc.",12.42%,17775446,1997249113,383901,+2.21%,ATO
"SSgA Funds Management, Inc.",7.52%,10757973,1208765846,170685,+1.61%,ATO
Aristotle Capital Management LLC,6.65%,9519883,1069654054,-433345,-4.35%,ATO
BlackRock Fund Advisors,6.38%,9136066,1026528376,-418134,-4.38%,ATO
Wellington Management Co. LLP,5.93%,8485905,953476286,1034997,+13.89%,ATO
RREEF America LLC,2.72%,3894190,437551188,-418460,-9.70%,ATO
American Century Investment Manag...,2.13%,3056493,343427553,-273987,-8.23%,ATO
Geode Capital Management LLC,2.09%,2989444,335893928,40347,+1.37%,ATO
GQG Partners LLC,2.04%,2915443,327579175,2898645,"+17,255.89%",ATO
Invesco Capital Management LLC,1.34%,1920872,215829178,-114700,-5.63%,ATO
"The Vanguard Group, Inc.",8.09%,576431930,11096314653,5836276,+1.02%,T
BlackRock Fund Advisors,4.86%,346227291,6664875352,7183621,+2.12%,T
"SSgA Funds Management, Inc.",4.01%,285737504,5500446952,4841922,+1.72%,T
Newport Trust Co.,2.74%,195316350,3759839738,-7849405,-3.86%,T
Geode Capital Management LLC,1.88%,133856636,2576740243,163596,+0.12%,T
"Northern Trust Investments, Inc.(...",0.96%,68474233,1318128985,1256902,+1.87%,T
Norges Bank Investment Management,0.94%,66784322,1285598199,-3949582,-5.58%,T
Morgan Stanley Smith Barney LLC (...,0.83%,59258205,1140720446,9434106,+18.93%,T
Dimensional Fund Advisors LP,0.73%,51975239,1000523351,-1406961,-2.64%,T
Charles Schwab Investment Managem...,0.71%,50536015,972818289,1872515,+3.85%,T
"The Vanguard Group, Inc.",8.36%,17142084,5404727664,-24228,-0.14%,AON
Massachusetts Financial Services ...,7.65%,15696336,4948897777,-666863,-4.08%,AON
Capital Research & Management Co....,4.82%,9889339,3118009693,-69910,-0.70%,AON
BlackRock Fund Advisors,4.60%,9443903,2977568177,141496,+1.52%,AON
"SSgA Funds Management, Inc.",4.21%,8642483,2724888465,-104171,-1.19%,AON
Capital Research & Management Co....,2.82%,5784711,1823861531,-14109,-0.24%,AON
Mawer Investment Management Ltd.,2.50%,5134182,1618756243,-126952,-2.41%,AON
WCM Investment Management LLC,2.49%,5104272,1609325919,-176393,-3.34%,AON
Lazard Asset Management LLC,2.33%,4782010,1507719933,-158274,-3.20%,AON
"Berkshire Hathaway, Inc. (Investm...",2.14%,4396000,1386014840,0,0.00%,AON
"The Vanguard Group, Inc.",12.91%,6831523,820260967,346727,+5.35%,AIZ
T. Rowe Price Investment Manageme...,10.76%,5694084,683688666,237239,+4.35%,AIZ
BlackRock Fund Advisors,6.89%,3644433,437587070,729418,+25.02%,AIZ
Fidelity Management & Research Co...,5.40%,2857218,343066165,-406368,-12.45%,AIZ
"SSgA Funds Management, Inc.",5.37%,2843889,341465752,22699,+0.80%,AIZ
Massachusetts Financial Services ...,2.65%,1399831,168077708,315481,+29.09%,AIZ
Invesco Capital Management LLC,2.47%,1309268,157203809,-300981,-18.69%,AIZ
Geode Capital Management LLC,2.24%,1186165,142422832,24567,+2.11%,AIZ
Newton Investment Management Nort...,2.21%,1167049,140127573,-647729,-35.69%,AIZ
Dimensional Fund Advisors LP,1.74%,922224,110731436,-12950,-1.38%,AIZ
"The Vanguard Group, Inc.",8.29%,70056331,8605019137,666177,+0.96%,AMAT
BlackRock Fund Advisors,5.24%,44294827,5440733600,-1004347,-2.22%,AMAT
"SSgA Funds Management, Inc.",4.51%,38133674,4683959177,-273478,-0.71%,AMAT
Capital Research & Management Co....,4.10%,34655751,4256765895,5370426,+18.34%,AMAT
Capital Research & Management Co....,2.14%,18120004,2225680091,33068,+0.18%,AMAT
Geode Capital Management LLC,1.88%,15911113,1954362010,211646,+1.35%,AMAT
"T. Rowe Price Associates, Inc. (I...",1.45%,12263246,1506294506,4277485,+53.56%,AMAT
Columbia Management Investment Ad...,1.17%,9876583,1213140690,-378959,-3.70%,AMAT
Fidelity Management & Research Co...,1.16%,9771067,1200180160,619598,+6.77%,AMAT
Norges Bank Investment Management,1.13%,9555399,1173689659,2267111,+31.11%,AMAT
"The Vanguard Group, Inc.",10.59%,28701571,3220029250,354240,+1.25%,APTV
BlackRock Fund Advisors,5.01%,13574033,1522870762,385561,+2.92%,APTV
"SSgA Funds Management, Inc.",3.72%,10085696,1131514234,-189083,-1.84%,APTV
Capital Research & Management Co....,3.36%,9110235,1022077265,-1585501,-14.82%,APTV
Massachusetts Financial Services ...,2.98%,8080442,906544788,482613,+6.35%,APTV
AllianceBernstein LP,2.89%,7837182,879253449,-772533,-8.97%,APTV
Geode Capital Management LLC,2.03%,5491324,616071640,125879,+2.35%,APTV
American Century Investment Manag...,1.99%,5397851,605584904,258,+0.00%,APTV
Impax Asset Management Ltd.,1.90%,5136615,576276837,430472,+9.15%,APTV
ClearBridge Investments LLC,1.89%,5131955,575754031,-549309,-9.67%,APTV
"The Vanguard Group, Inc.",9.61%,1767386,4344499896,-35769,-1.98%,AZO
BlackRock Fund Advisors,6.04%,1110776,2730454024,23045,+2.12%,AZO
"JPMorgan Investment Management, I...",5.90%,1085747,2668928988,61256,+5.98%,AZO
Fidelity Management & Research Co...,5.36%,986454,2424851900,8246,+0.84%,AZO
"SSgA Funds Management, Inc.",4.38%,806627,1982810160,-26456,-3.18%,AZO
Fiera Capital Corp. (Investment M...,3.15%,578561,1422189722,-61310,-9.58%,AZO
"Boston Partners Global Investors,...",2.88%,528970,1300287606,-98165,-15.65%,AZO
Geode Capital Management LLC,2.44%,449858,1105818443,-5517,-1.21%,AZO
RBC Global Asset Management (UK) ...,1.81%,333019,818610655,-10870,-3.16%,AZO
Norges Bank Investment Management,1.45%,267129,656643151,66737,+33.30%,AZO
"The Vanguard Group, Inc.",8.48%,25988310,4362397717,504224,+1.98%,ANET
BlackRock Fund Advisors,4.28%,13114469,2201394766,452599,+3.57%,ANET
First Republic Investment Managem...,4.05%,12400805,2081599127,11902638,"+2,389.29%",ANET
AllianceBernstein LP,3.34%,10223393,1716098749,-362555,-3.42%,ANET
"SSgA Funds Management, Inc.",3.16%,9678887,1624697972,316037,+3.38%,ANET
"T. Rowe Price Associates, Inc. (I...",2.69%,8236411,1382563950,2980979,+56.72%,ANET
Capital Research & Management Co....,2.01%,6143181,1031194363,850,+0.01%,ANET
Geode Capital Management LLC,1.64%,5020468,842735758,121270,+2.48%,ANET
Artisan Partners LP,1.44%,4403454,739163788,-1422578,-24.42%,ANET
Fidelity Management & Research Co...,1.39%,4271014,716932410,798825,+23.01%,ANET
"The Vanguard Group, Inc.",10.92%,9511287,3165356314,125836,+1.34%,ANSS
BlackRock Fund Advisors,5.48%,4775915,1589424512,108411,+2.32%,ANSS
Aristotle Capital Management LLC,4.93%,4297291,1430138445,-218318,-4.83%,ANSS
"SSgA Funds Management, Inc.",3.88%,3380517,1125036058,-27521,-0.81%,ANSS
BlackRock Investment Management (...,2.39%,2081129,692599731,-105739,-4.84%,ANSS
"BAMCO, Inc.",2.24%,1953122,649999002,59073,+3.12%,ANSS
Geode Capital Management LLC,2.10%,1829222,608765082,42700,+2.39%,ANSS
Pictet Asset Management SA,1.84%,1605851,534427213,308296,+23.76%,ANSS
Ownership Capital BV,1.72%,1494533,497380582,150347,+11.18%,ANSS
Kayne Anderson Rudnick Investment...,1.36%,1182691,393599565,502074,+73.77%,ANSS
"The Vanguard Group, Inc.",11.78%,9519827,1703382645,74219,+0.79%,AVY
BlackRock Fund Advisors,5.29%,4276628,765217048,44136,+1.04%,AVY
T. Rowe Price Investment Manageme...,5.01%,4047020,724133289,-22475,-0.55%,AVY
"SSgA Funds Management, Inc.",4.48%,3619965,647720337,-27821,-0.76%,AVY
"T. Rowe Price Associates, Inc. (I...",2.78%,2242669,401280764,39266,+1.78%,AVY
"Victory Capital Management, Inc. ...",2.54%,2055407,367773975,-42639,-2.03%,AVY
Lazard Asset Management LLC,2.53%,2046007,366092033,153211,+8.09%,AVY
Geode Capital Management LLC,2.07%,1670134,298837077,60951,+3.79%,AVY
Columbia Management Investment Ad...,2.04%,1650182,295267065,-13498,-0.81%,AVY
"Fiduciary Management, Inc.",1.57%,1266554,226624507,-151178,-10.66%,AVY
"The Vanguard Group, Inc.",10.89%,34240256,1886980508,360941,+1.07%,BALL
Parnassus Investments LLC,5.51%,17325411,954803400,1770734,+11.38%,BALL
BlackRock Fund Advisors,5.01%,15764699,868792562,-343591,-2.13%,BALL
T. Rowe Price Investment Manageme...,4.82%,15147996,834806060,6641,+0.04%,BALL
"SSgA Funds Management, Inc.",4.39%,13805188,760803911,5366,+0.04%,BALL
"T. Rowe Price Associates, Inc. (I...",2.84%,8927172,491976449,262165,+3.03%,BALL
Geode Capital Management LLC,2.12%,6663282,367213471,140905,+2.16%,BALL
Sustainable Growth Advisers LP,2.00%,6278241,345993862,454738,+7.81%,BALL
Goldman Sachs Asset Management LP,1.91%,6018713,331691273,478237,+8.63%,BALL
"JPMorgan Investment Management, I...",1.42%,4461215,245857559,1002394,+28.98%,BALL
"The Vanguard Group, Inc.",11.91%,25263056,4833075243,323778,+1.30%,AJG
BlackRock Fund Advisors,5.79%,12269892,2347353039,630997,+5.42%,AJG
Capital Research & Management Co....,4.60%,9761923,1867553489,-23510,-0.24%,AJG
Fidelity Management & Research Co...,4.34%,9194937,1759083397,-177071,-1.89%,AJG
"SSgA Funds Management, Inc.",4.27%,9063372,1733913697,-24925,-0.27%,AJG
Norges Bank Investment Management,3.58%,7594081,1452823636,682541,+9.88%,AJG
Baillie Gifford & Co.,2.63%,5567272,1065074806,-1569280,-21.99%,AJG
Massachusetts Financial Services ...,2.55%,5410419,1035067259,-123833,-2.24%,AJG
Geode Capital Management LLC,2.14%,4534836,867559475,66186,+1.48%,AJG
"JPMorgan Investment Management, I...",1.76%,3735004,714543615,-703652,-15.85%,AJG
"The Vanguard Group, Inc.",15.88%,22222010,3734631001,48797,+0.22%,AVB
BlackRock Fund Advisors,7.06%,9874291,1659473345,418429,+4.43%,AVB
"SSgA Funds Management, Inc.",6.83%,9555920,1605967915,130754,+1.39%,AVB
Norges Bank Investment Management,4.43%,6200778,1042102751,264592,+4.46%,AVB
Principal Global Investors LLC,3.47%,4849086,814937393,-170405,-3.39%,AVB
"T. Rowe Price Associates, Inc. (I...",3.38%,4726967,794414074,-931310,-16.46%,AVB
Geode Capital Management LLC,2.21%,3091345,519531441,57744,+1.90%,AVB
"JPMorgan Investment Management, I...",1.83%,2558152,429923025,-2389,-0.09%,AVB
Principal Real Estate Investors L...,1.65%,2305746,387503673,-101136,-4.20%,AVB
BlackRock Investment Management (...,1.40%,1952891,328202861,325346,+19.99%,AVB
"Berkshire Hathaway, Inc. (Investm...",12.62%,1010100606,28888877332,0,0.00%,BAC
"The Vanguard Group, Inc.",7.22%,577869501,16527067729,4706671,+0.82%,BAC
BlackRock Fund Advisors,3.88%,310548439,8881685355,-592724,-0.19%,BAC
"SSgA Funds Management, Inc.",3.72%,297870751,8519103479,1162471,+0.39%,BAC
Fidelity Management & Research Co...,2.42%,193996245,5548292607,11606629,+6.36%,BAC
"T. Rowe Price Associates, Inc. (I...",1.59%,127177786,3637284680,23532190,+22.70%,BAC
Geode Capital Management LLC,1.55%,123636775,3536011765,1327840,+1.09%,BAC
Norges Bank Investment Management,1.30%,103760365,2967546439,15240559,+17.22%,BAC
Capital Research & Management Co....,1.11%,88946498,2543869843,129621,+0.15%,BAC
